Full Name,Quote,Related Tags,Born Date,Country,State,City,Biography
Albert Einstein,“The world as we have created it is a process of our thinking. It cannot be changed without changing our thinking.”,"change, deep-thoughts, thinking, world","March 14, 1879",Germany,Unknown,Ulm,"In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
J.K. Rowling,"“It is our choices, Harry, that show what we truly are, far more than our abilities.”","abilities, choices","July 31, 1965",The United Kgdom,South Gloucestershire,Yate,"See also: Robert GalbraithAlthough she writes under the pen name J.K. Rowling, pronounced like rolli"
Albert Einstein,“There are only two ways to live your life. One is as though nothing is a miracle. The other is as though everything is a miracle.”,"inspirational, life, live, miracle, miracles","March 14, 1879",Germany,Unknown,Ulm,"In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
Jane Austen,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”","aliteracy, books, classic, humor","December 16, 1775",The United Kgdom,Hampshire,Steventon Rectory,"Jane Austen was an English novelist whose works of romantic fiction, set among the landed gentry, ea"
Marilyn Monroe,"“Imperfection is beauty, madness is genius and it's better to be absolutely ridiculous than absolutely boring.”","be-yourself, inspirational","June 01, 1926",The United States,Unknown,Unknown,"Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress, "
Albert Einstein,“Try not to become a man of success. Rather become a man of value.”,"adulthood, success, value","March 14, 1879",Germany,Unknown,Ulm,"In 1879, Albert Einstein was born in Ulm, Germany. He completed his Ph.D. at the University of Zuric"
André Gide,“It is better to be hated for what you are than to be loved for what you are not.”,"life, love","November 22, 1869",France,Unknown,Paris,André Paul Guillaume Gide was a French author and winner of the Nobel Prize in literature in 1947. G
Thomas A. Edison,"“I have not failed. I've just found 10,000 ways that won't work.”","edison, failure, inspirational, paraphrased","February 11, 1847",The United States,Ohio,Milan,"Thomas Alva Edison was an American inventor, scientist and businessman who developed many devices th"
Steve Martin,"“A day without sunshine is like, you know, night.”","humor, obvious, simile","August 14, 1945",The United States,Texas,Waco,"Stephen Glenn ""Steve"" Martin is an American actor, comedian, writer, playwright, producer, musician,"
Marilyn Monroe,"“This life is what you make it. No matter what, you're going to mess up sometimes, it's a universal truth. But the good part is you get to decide how you're going to mess it up. Girls will be your friends - they'll act like it anyway. But just remember, some come, some go. The ones that stay with you through everything - they're your true best friends. Don't let go of them. Also remember, sisters make the best friends in the world. As for lovers, well, they'll come and go too. And baby, I hate to say it, most of them - actually pretty much all of them are going to break your heart, but you can't give up because if you give up, you'll never find your soulmate. You'll never find that half who makes you whole and that goes for everything. Just because you fail once, doesn't mean you're gonna fail at everything. Keep trying, hold on, and always, always, always believe in yourself, because if you don't, then who will, sweetie? So keep your head high, keep your chin up, and most importantly, keep smiling, because life's a beautiful thing and there's so much to smile about.”","friends, heartbreak, inspirational, life, love, sisters","June 01, 1926",The United States,Unknown,Unknown,"Marilyn Monroe (born Norma Jeane Mortenson; June 1, 1926 – August 5, 1962) was an American actress, "
